first_name,second_name,team_name,player_position,player_cost,minutes,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
David,Raya Martín,Arsenal,GKP,5.5,3420,0,0,13,10,555,755.4,10.7,0.0,76.7,0.00,0.03,0.03,35.03
Kepa,Arrizabalaga Revuelta,Arsenal,GKP,4.5,2790,0,0,8,7,406,744.4,10.4,4.0,75.8,0.06,0.03,0.09,38.83
Karl,Hein,Arsenal,GKP,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Tommy,Setford,Arsenal,GKP,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Gabriel,dos Santos Magalhães,Arsenal,DEF,6.0,2363,3,2,10,9,459,584.6,208.8,287.0,108.2,2.70,1.21,3.91,23.09
William,Saliba,Arsenal,DEF,6.0,3039,2,0,12,14,564,672.6,150.1,116.0,94.2,2.42,1.28,3.70,30.32
Riccardo,Calafiori,Arsenal,DEF,5.5,978,2,1,1,1,142,252.6,118.2,176.0,54.6,0.86,0.69,1.55,10.28
Jurriën,Timber,Arsenal,DEF,5.5,2415,1,3,11,9,426,393.0,296.8,254.0,94.2,1.23,1.30,2.53,21.09
Jakub,Kiwior,Arsenal,DEF,5.5,1117,1,0,3,2,178,267.2,91.3,32.0,39.2,0.17,0.29,0.46,14.71
Myles,Lewis-Skelly,Arsenal,DEF,5.5,1362,1,0,5,0,237,176.0,170.7,57.0,40.0,0.16,0.51,0.67,16.65
Benjamin,White,Arsenal,DEF,5.5,1195,0,2,5,0,211,247.6,162.6,100.0,51.0,0.46,1.30,1.76,16.88
Oleksandr,Zinchenko,Arsenal,DEF,5.0,518,0,1,4,2,141,83.4,92.8,66.0,24.1,0.65,0.52,1.17,3.21
Brayden,Clarke,Arsenal,DEF,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Maldini,Kacurri,Arsenal,DEF,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Josh,Nichols,Arsenal,DEF,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Bukayo,Saka,Arsenal,MID,10.0,1724,6,11,7,18,508,606.0,842.8,830.0,227.9,6.87,7.78,14.65,17.72
